t_sec,symbol,side,type,price,qty,filled_qty,status,event
559.210,STOCK1,sell,market,,500,500,filled,accepted
792.628,STOCK2,buy,market,,500,500,filled,accepted
985.374,STOCK1,sell,market,,500,500,filled,accepted
1417.965,STOCK1,sell,market,,1000,1000,filled,accepted
1746.867,STOCK1,sell,market,,1000,1000,filled,accepted
2021.491,STOCK2,sell,market,,500,500,filled,accepted
2278.766,STOCK1,sell,market,,1000,1000,filled,accepted
2511.029,STOCK2,buy,market,,1000,1000,filled,accepted
2624.400,STOCK2,buy,market,,1000,1000,filled,accepted
2709.192,STOCK1,buy,market,,1000,1000,filled,accepted
2874.330,STOCK1,sell,market,,1000,1000,filled,accepted
3030.073,STOCK2,sell,market,,1000,1000,filled,accepted
3039.131,STOCK2,sell,market,,1000,1000,filled,accepted
3039.486,STOCK2,sell,market,,1000,1000,filled,accepted
3039.867,STOCK2,sell,market,,1000,1000,filled,accepted
3049.323,STOCK2,sell,market,,1000,1000,filled,accepted
3134.498,STOCK1,sell,market,,1000,1000,filled,accepted
3136.311,STOCK1,sell,market,,1000,1000,filled,accepted
3139.926,STOCK1,sell,market,,1000,1000,filled,accepted
3148.130,STOCK2,buy,market,,1000,1000,filled,accepted
3149.007,STOCK2,buy,market,,1000,1000,filled,accepted
3164.802,STOCK2,buy,market,,3000,3000,filled,accepted
3207.318,STOCK2,buy,market,,3000,3000,filled,accepted
3218.816,STOCK2,buy,market,,3000,3000,filled,accepted
3232.045,STOCK2,buy,market,,2000,2000,filled,accepted
3250.786,STOCK1,sell,market,,1000,1000,filled,accepted
3329.893,STOCK1,sell,market,,1000,1000,filled,accepted
3331.491,STOCK1,sell,market,,1000,1000,filled,accepted
